box_name,quantity,packed_boxes,unpacked_boxes
#7A外箱,1,1,0
#9外箱,1,1,0
#16A外箱,0,0,0
#18A外箱,0,0,0
#13外箱,1,1,0
#20外箱,0,0,0
#22外箱,0,0,0
#26外箱,0,0,0
#29外箱,0,0,0
#33外箱,0,0,0
#35外箱,0,0,0
