box_name,quantity,packed_boxes,unpacked_boxes
#7A,4,4,0
#9,2,2,0
#16A,3,3,0
#18A,4,4,0
#13,2,2,0
#20,3,3,0
#22,3,3,0
#26,3,3,0
#29,3,3,0
#33,3,3,0
#35,2,2,0
