box_name,quantity,width,height,depth
#7A,2,75,57,40
#9,2,91,69,46
#16A,3,75,57,32
#18A,2,75,57,36
#13,3,117,55,28
#20,2,111,73,26
#22,3,95,57,36
#26,2,149,55,40
#29,2,135,55,36
#33,4,93,47,36
#35,1,209,97,36
