bin_name,box_name,position_x,position_y,position_z,width,height,depth,layer,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,111,73,26,0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,36.5,26,#20,0.0
1,5,117,0,0,91,69,46,0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",162.5,34.5,46,#9,0.0
1,2,0,73,0,209,97,36,0,"(1.0, 0.0, 0.0, 1.0)",104.5,121.5,36,#35,0.0
1,4,0,0,26,117,55,28,1,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,27.5,54,#13,0.0
1,13,135,69,36,73,111,26,1,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",171.5,124.5,62,#20,1.0
1,3,0,73,36,135,55,36,1,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,100.5,72,#29,0.0
1,10,0,128,36,135,55,36,1,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",67.5,155.5,72,#29,0.0
1,9,117,0,46,95,57,36,1,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,28.5,82,#22,0.0
1,6,0,0,54,75,57,32,2,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,86,#16A,0.0
1,21,149,69,62,55,117,28,2,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",176.5,127.5,90,#13,1.0
1,14,0,73,72,149,55,40,2,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,100.5,112,#26,0.0
1,15,0,128,72,149,55,40,2,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",74.5,155.5,112,#26,0.0
1,11,117,0,82,93,47,36,2,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",163.5,23.5,118,#33,0.0
1,7,0,0,86,75,57,36,3,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,122,#18A,0.0
1,25,149,69,90,69,91,46,3,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",183.5,114.5,136,#9,1.0
1,16,0,73,112,117,55,28,3,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,100.5,140,#13,0.0
1,23,0,130,112,95,57,36,3,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,158.5,148,#22,0.0
1,17,117,0,118,93,47,36,3,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",163.5,23.5,154,#33,0.0
1,8,0,0,122,75,57,40,4,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,162,#7A,0.0
1,20,0,73,140,75,57,32,4,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,101.5,172,#16A,0.0
1,24,0,130,148,93,47,36,4,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",46.5,153.5,184,#33,0.0
1,19,117,0,154,95,57,36,4,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,28.5,190,#22,0.0
1,12,0,0,162,75,57,40,5,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,202,#7A,0.0
1,26,0,73,172,75,57,32,5,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,101.5,204,#16A,0.0
1,22,117,0,190,93,47,36,5,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",163.5,23.5,226,#33,0.0
1,18,0,0,202,75,57,36,6,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,238,#18A,0.0
