box_name,bin_1,bin_2
#7A外箱,5,0
#9外箱,4,0
#16A外箱,5,0
#18A外箱,5,0
#13外箱,3,2
#20外箱,5,0
#22外箱,5,0
#26外箱,5,0
#29外箱,1,4
#33外箱,4,0
#35外箱,0,3
