bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#7A外箱,40,28.5,37.5,40,1.0
1,#16A外箱,32,85.5,37.5,32,1.0
1,#26外箱,40,141.5,74.5,40,1.0
1,#33外箱,36,192.5,46.5,36,1.0
1,#9外箱,46,45.5,109.5,46,0.0
1,#20外箱,26,55.5,180.5,26,0.0
1,#22外箱,36,164.5,177.5,36,0.0
1,#20外箱,26,55.5,180.5,52,0.0
1,#18A外箱,36,85.5,37.5,68,1.0
1,#33外箱,36,192.5,46.5,72,1.0
1,#22外箱,36,164.5,177.5,72,0.0
1,#16A外箱,32,28.5,37.5,72,1.0
1,#26外箱,40,141.5,74.5,80,1.0
1,#9外箱,46,45.5,109.5,92,0.0
1,#20外箱,26,55.5,180.5,78,0.0
1,#16A外箱,32,85.5,37.5,100,1.0
1,#7A外箱,40,28.5,37.5,112,1.0
1,#33外箱,36,192.5,46.5,108,1.0
1,#22外箱,36,164.5,177.5,108,0.0
1,#20外箱,26,55.5,180.5,104,0.0
1,#26外箱,40,141.5,74.5,120,1.0
1,#9外箱,46,45.5,109.5,138,0.0
1,#7A外箱,40,85.5,37.5,140,1.0
1,#13外箱,28,58.5,176.5,132,0.0
1,#33外箱,36,192.5,46.5,144,1.0
1,#22外箱,36,164.5,177.5,144,0.0
1,#18A外箱,36,28.5,37.5,148,1.0
1,#26外箱,40,141.5,74.5,160,1.0
1,#20外箱,26,55.5,180.5,158,0.0
1,#9外箱,46,45.5,109.5,184,0.0
1,#16A外箱,32,85.5,37.5,172,1.0
1,#7A外箱,40,154.5,177.5,184,0.0
1,#18A外箱,36,28.5,37.5,184,1.0
1,#13外箱,28,58.5,176.5,186,0.0
1,#26外箱,40,141.5,74.5,200,1.0
1,#16A外箱,32,85.5,37.5,204,1.0
1,#7A外箱,40,28.5,37.5,224,1.0
1,#22外箱,36,47.5,103.5,220,0.0
1,#18A外箱,36,154.5,177.5,220,0.0
1,#13外箱,28,58.5,176.5,214,0.0
1,#29外箱,36,141.5,67.5,236,1.0
1,#18A外箱,36,85.5,37.5,240,1.0
2,#35外箱,36,48.5,104.5,36,1.0
2,#35外箱,36,145.5,104.5,36,1.0
2,#35外箱,36,48.5,104.5,72,1.0
2,#13外箱,28,124.5,58.5,64,1.0
2,#29外箱,36,179.5,67.5,72,1.0
2,#29外箱,36,27.5,67.5,108,1.0
2,#29外箱,36,82.5,67.5,108,1.0
2,#13外箱,28,27.5,58.5,136,1.0
2,#29外箱,36,82.5,67.5,144,1.0
