bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,37.5,40,#7A外箱,1.0
1,2,57,0,0,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",85.5,37.5,32,#16A外箱,1.0
1,5,114,0,0,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",141.5,74.5,40,#26外箱,1.0
1,9,169,0,0,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",192.5,46.5,36,#33外箱,1.0
1,4,0,75,0,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,109.5,46,#9外箱,0.0
1,6,0,144,0,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,180.5,26,#20外箱,0.0
1,24,117,149,0,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,177.5,36,#22外箱,0.0
1,8,0,144,26,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,180.5,52,#20外箱,0.0
1,13,57,0,32,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",85.5,37.5,68,#18A外箱,1.0
1,23,169,0,36,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",192.5,46.5,72,#33外箱,1.0
1,33,117,149,36,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,177.5,72,#22外箱,0.0
1,3,0,0,40,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,72,#16A外箱,1.0
1,11,114,0,40,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",141.5,74.5,80,#26外箱,1.0
1,12,0,75,46,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,109.5,92,#9外箱,0.0
1,10,0,144,52,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,180.5,78,#20外箱,0.0
1,19,57,0,68,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",85.5,37.5,100,#16A外箱,1.0
1,7,0,0,72,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,37.5,112,#7A外箱,1.0
1,37,169,0,72,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",192.5,46.5,108,#33外箱,1.0
1,36,117,149,72,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,177.5,108,#22外箱,0.0
1,16,0,144,78,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,180.5,104,#20外箱,0.0
1,14,114,0,80,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",141.5,74.5,120,#26外箱,1.0
1,27,0,75,92,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,109.5,138,#9外箱,0.0
1,26,57,0,100,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",85.5,37.5,140,#7A外箱,1.0
1,22,0,149,104,117,55,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",58.5,176.5,132,#13外箱,0.0
1,41,169,0,108,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",192.5,46.5,144,#33外箱,1.0
1,38,117,149,108,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",164.5,177.5,144,#22外箱,0.0
