bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,75,40
1,2,57,0,0,57,75,32
1,3,0,0,40,57,75,32
1,4,0,75,0,91,69,46
1,5,114,0,0,55,149,40
1,6,0,144,0,111,73,26
1,7,0,0,72,57,75,40
1,8,0,144,26,111,73,26
1,9,169,0,0,47,93,36
1,10,0,144,52,111,73,26
1,11,114,0,40,55,149,40
1,12,0,75,46,91,69,46
1,13,57,0,32,57,75,36
1,14,114,0,80,55,149,40
1,15,0,0,112,57,75,36
1,16,0,144,78,111,73,26
1,17,114,0,120,55,149,40
1,18,114,0,160,55,149,40
1,19,57,0,68,57,75,32
1,20,114,0,200,55,135,36
1,21,0,0,148,57,75,36
1,22,0,149,104,117,55,28
1,23,169,0,36,47,93,36
1,24,117,149,0,95,57,36
1,25,0,0,184,57,75,40
1,26,57,0,100,57,75,40
1,27,0,75,92,91,69,46
1,28,57,0,140,57,75,32
1,29,0,75,138,91,69,46
1,30,0,144,132,111,73,26
1,31,0,149,158,117,55,28
1,32,0,149,186,117,55,28
1,33,117,149,36,95,57,36
1,34,0,75,184,95,57,36
1,35,57,0,172,57,75,32
1,36,117,149,72,95,57,36
1,37,169,0,72,47,93,36
1,38,117,149,108,95,57,36
1,39,117,149,144,75,57,40
1,40,57,0,204,57,75,36
1,41,169,0,108,47,93,36
1,42,117,149,184,75,57,36
2,1,0,0,0,97,209,36
2,2,0,0,36,97,209,36
2,3,97,0,0,97,209,36
2,4,0,0,72,55,135,36
2,5,97,0,36,55,117,28
2,6,0,0,108,55,117,28
2,7,55,0,72,55,135,36
2,8,152,0,36,55,135,36
2,9,55,0,108,55,135,36
