box_name,quantity,width,height,depth
#7A外箱,5,75,57,40
#9外箱,4,91,69,46
#16A外箱,5,75,57,32
#18A外箱,5,75,57,36
#13外箱,5,117,55,28
#20外箱,5,111,73,26
#22外箱,5,95,57,36
#26外箱,5,149,55,40
#29外箱,5,135,55,36
#33外箱,4,93,47,36
#35外箱,3,209,97,36
