box_name,bin_1
#7A外箱,1
#9外箱,2
#16A外箱,1
#18A外箱,1
#13外箱,1
#20外箱,0
#22外箱,1
#26外箱,0
#29外箱,0
#33外箱,0
#35外箱,0
