bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,75,32
1,2,0,0,32,57,75,40
1,3,57,0,0,97,209,36
1,4,57,0,36,97,209,36
1,5,0,75,0,57,95,36
1,6,0,75,36,47,93,36
1,7,154,0,0,55,117,28
1,8,57,0,72,69,91,46
1,9,30,91,72,149,55,40
1,10,0,0,72,57,75,36
1,11,30,146,72,111,73,26
1,12,30,91,112,135,55,36
1,13,154,0,28,55,117,28
1,14,30,91,148,149,55,40
1,15,154,117,0,47,93,36
1,16,30,146,98,111,73,26
1,17,30,91,188,135,55,36
1,18,30,146,124,111,73,26
1,19,0,0,108,57,75,40
1,20,57,0,118,69,91,46
1,21,0,0,148,57,75,40
1,22,57,0,164,69,91,46
1,23,30,146,150,117,55,28
1,24,0,0,188,57,75,36
1,25,154,0,56,57,75,32
1,26,154,0,88,57,75,32
1,27,154,117,36,57,95,36
