bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#29,65.0,25.0,36.0,27.5,67.5,36.0,1.0,2.5,2.5,0,50,130,36.0
1,#22,45.0,26.0,36.0,83.5,47.5,36.0,1.0,57.5,2.5,0,52,90,36.0
1,#33,44.0,21.0,36.0,135.5,46.5,36.0,1.0,114.5,2.5,0,42,88,36.0
1,#7A,35.0,26.0,40.0,187.5,37.5,40.0,1.0,161.5,2.5,0,52,70,40.0
1,#18A,35.0,26.0,36.0,187.5,112.5,36.0,1.0,161.5,77.5,0,52,70,36.0
1,#9,43.0,32.0,46.0,102.5,129.5,46.0,0.0,59.5,97.5,0,86,64,46.0
1,#16A,35.0,26.0,32.0,28.5,172.5,32.0,1.0,2.5,137.5,0,52,70,32.0
1,#26,72.0,25.0,40.0,131.5,191.5,40.0,0.0,59.5,166.5,0,144,50,40.0
2,#35,102.0,46.0,36.0,104.5,48.5,36.0,0.0,2.5,2.5,0,204,92,36.0
2,#13,56.0,25.0,28.0,27.5,155.5,28.0,1.0,2.5,99.5,0,50,112,28.0
2,#20,53.0,34.0,26.0,110.5,133.5,26.0,0.0,57.5,99.5,0,106,68,26.0
