bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#22,45.0,26.0,36,47.5,28.5,36,0.0,0,2.5,2.5,0,90,52,36
1,#33,44.0,21.0,36,141.5,23.5,36,0.0,0,97.5,2.5,0,88,42,36
1,#13,56.0,25.0,28,122.5,105.5,28,1.0,0,97.5,49.5,0,50,112,28
1,#13,56.0,25.0,28,177.5,105.5,28,1.0,0,152.5,49.5,0,50,112,28
1,#33,44.0,21.0,36,46.5,80.5,36,0.0,0,2.5,59.5,0,88,42,36
1,#18A,35.0,26.0,36,37.5,132.5,36,0.0,0,2.5,106.5,0,70,52,36
1,#22,45.0,26.0,36,47.5,189.5,36,0.0,0,2.5,163.5,0,90,52,36
1,#13,56.0,25.0,28,153.5,191.5,28,0.0,0,97.5,166.5,0,112,50,28
1,#22,45.0,26.0,36,123.5,94.5,64,1.0,1,97.5,49.5,28,52,90,36
1,#13,56.0,25.0,28,179.5,105.5,56,1.0,1,154.5,49.5,28,50,112,28
1,#13,56.0,25.0,28,153.5,191.5,56,0.0,1,97.5,166.5,28,112,50,28
1,#16A,35.0,26.0,32,37.5,28.5,68,0.0,1,2.5,2.5,36,70,52,32
1,#33,44.0,21.0,36,141.5,23.5,72,0.0,1,97.5,2.5,36,88,42,36
1,#7A,35.0,26.0,40,37.5,85.5,76,0.0,1,2.5,59.5,36,70,52,40
1,#16A,35.0,26.0,32,37.5,142.5,68,0.0,1,2.5,116.5,36,70,52,32
1,#33,44.0,21.0,36,46.5,194.5,72,0.0,1,2.5,173.5,36,88,42,36
1,#18A,35.0,26.0,36,123.5,84.5,100,1.0,2,97.5,49.5,64,52,70,36
1,#16A,35.0,26.0,32,37.5,28.5,100,0.0,2,2.5,2.5,68,70,52,32
1,#7A,35.0,26.0,40,37.5,142.5,108,0.0,2,2.5,116.5,68,70,52,40
1,#33,44.0,21.0,36,141.5,23.5,108,0.0,2,97.5,2.5,72,88,42,36
1,#16A,35.0,26.0,32,37.5,85.5,108,0.0,2,2.5,59.5,76,70,52,32
1,#18A,35.0,26.0,36,37.5,28.5,136,0.0,3,2.5,2.5,100,70,52,36
1,#22,45.0,26.0,36,142.5,28.5,144,0.0,3,97.5,2.5,108,90,52,36
1,#18A,35.0,26.0,36,37.5,85.5,144,0.0,3,2.5,59.5,108,70,52,36
1,#16A,35.0,26.0,32,37.5,142.5,140,0.0,3,2.5,116.5,108,70,52,32
1,#7A,35.0,26.0,40,37.5,28.5,176,0.0,4,2.5,2.5,136,70,52,40
1,#22,45.0,26.0,36,142.5,28.5,180,0.0,4,97.5,2.5,144,90,52,36
1,#7A,35.0,26.0,40,37.5,85.5,184,0.0,4,2.5,59.5,144,70,52,40
1,#7A,35.0,26.0,40,37.5,28.5,216,0.0,5,2.5,2.5,176,70,52,40
1,#18A,35.0,26.0,36,37.5,85.5,220,0.0,5,2.5,59.5,184,70,52,36
