bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,209,97,36
1,2,0,0,36,75,57,36
1,3,0,97,0,149,55,40
1,4,75,0,36,69,91,46
1,5,0,152,0,135,55,36
1,6,0,0,72,75,57,36
1,7,0,97,40,93,47,36
1,8,0,152,36,149,55,40
1,9,149,97,0,55,117,28
1,10,149,0,36,55,117,28
1,11,0,0,108,75,57,32
1,12,75,0,82,47,93,36
1,13,0,0,140,75,57,32
1,14,0,0,172,75,57,36
1,15,0,152,76,149,55,40
1,16,144,0,64,69,91,46
1,17,149,117,28,69,91,46
1,18,0,97,76,93,47,36
1,19,0,152,116,135,55,36
1,20,0,152,152,149,55,40
1,21,75,0,118,57,95,36
1,22,144,0,110,69,91,46
1,23,75,0,154,57,75,40
1,24,0,0,208,75,57,32
1,25,144,0,156,57,95,36
1,26,75,0,194,57,75,40
1,27,144,0,192,57,75,32
1,28,149,117,74,57,95,36
1,29,0,152,192,149,55,40
1,30,149,117,110,57,95,36
1,31,149,117,146,69,91,46
2,1,0,0,0,73,111,26
