bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#35外箱,36,104.5,48.5,36,0.0
1,#26外箱,40,74.5,124.5,40,0.0
1,#13外箱,28,176.5,155.5,28,1.0
1,#29外箱,36,67.5,179.5,36,0.0
1,#9外箱,46,183.5,162.5,74,1.0
1,#18A外箱,36,37.5,28.5,72,0.0
1,#9外箱,46,109.5,45.5,82,1.0
1,#13外箱,28,176.5,58.5,64,1.0
1,#26外箱,40,74.5,179.5,76,0.0
1,#33外箱,36,46.5,120.5,76,0.0
1,#9外箱,46,178.5,45.5,110,1.0
1,#18A外箱,36,37.5,28.5,108,0.0
1,#22外箱,36,177.5,164.5,110,1.0
1,#33外箱,36,46.5,120.5,112,0.0
1,#26外箱,40,74.5,179.5,116,0.0
1,#33外箱,36,98.5,46.5,118,1.0
1,#16A外箱,32,37.5,28.5,140,0.0
1,#9外箱,46,178.5,45.5,156,1.0
1,#22外箱,36,177.5,164.5,146,1.0
1,#29外箱,36,67.5,179.5,152,0.0
1,#22外箱,36,103.5,47.5,154,1.0
1,#16A外箱,32,37.5,28.5,172,0.0
1,#9外箱,46,183.5,162.5,192,1.0
1,#26外箱,40,74.5,179.5,192,0.0
1,#7A外箱,40,103.5,37.5,194,1.0
1,#22外箱,36,172.5,47.5,192,1.0
1,#18A外箱,36,37.5,28.5,208,0.0
1,#16A外箱,32,172.5,37.5,224,1.0
1,#26外箱,40,74.5,179.5,232,0.0
1,#7A外箱,40,103.5,37.5,234,1.0
1,#16A外箱,32,37.5,28.5,240,0.0
2,#20外箱,26,36.5,55.5,26,1.0
