bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#9,43.0,32.0,46.0,34.5,45.5,46.0,1.0,2.5,2.5,0,64,86,46.0
1,#18A,35.0,26.0,36.0,97.5,37.5,36.0,1.0,71.5,2.5,0,52,70,36.0
1,#33,44.0,21.0,36.0,172.5,23.5,36.0,0.0,128.5,2.5,0,88,42,36.0
1,#16A,35.0,26.0,32.0,163.5,75.5,32.0,0.0,128.5,49.5,0,70,52,32.0
1,#20,53.0,34.0,26.0,55.5,127.5,26.0,0.0,2.5,93.5,0,106,68,26.0
1,#22,45.0,26.0,36.0,158.5,132.5,36.0,0.0,113.5,106.5,0,90,52,36.0
1,#7A,35.0,26.0,40.0,172.5,189.5,40.0,0.0,137.5,163.5,0,70,52,40.0
1,#29,65.0,25.0,36.0,67.5,191.5,36.0,0.0,2.5,166.5,0,130,50,36.0
2,#35,102.0,46.0,36.0,48.5,104.5,36.0,1.0,2.5,2.5,0,92,204,36.0
2,#26,72.0,25.0,40.0,124.5,74.5,40.0,1.0,99.5,2.5,0,50,144,40.0
2,#13,56.0,25.0,28.0,179.5,58.5,28.0,1.0,154.5,2.5,0,50,112,28.0
