bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,91,69,46
1,2,0,69,0,55,149,40
1,3,0,69,40,55,149,40
1,4,91,0,0,97,209,36
1,5,91,0,36,97,209,36
1,6,0,69,80,55,135,36
1,7,91,0,72,97,209,36
1,8,0,69,116,55,135,36
1,9,0,0,46,91,69,46
1,10,91,0,108,111,73,26
1,11,0,0,92,91,69,46
1,12,91,0,134,111,73,26
1,13,0,69,152,55,149,40
1,14,0,0,138,91,69,46
1,15,0,69,192,55,135,36
1,16,64,73,108,149,55,40
1,17,91,0,160,111,73,26
1,18,64,73,148,135,55,36
1,19,91,0,186,111,73,26
1,20,64,128,108,149,55,40
1,21,0,0,184,91,69,46
1,22,91,0,212,111,73,26
1,23,64,73,184,135,55,36
