bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
Bin 1,Box 1,0,0,0,69.0,91.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",35.0,46.0,46.0,#9外箱,1.0
Bin 1,Box 2,69,0,0,91.0,69.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",115.0,35.0,46.0,#9外箱,0.0
Bin 1,Box 4,160,0,0,55.0,135.0,36.0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",188.0,68.0,36.0,#29外箱,1.0
Bin 1,Box 22,111,69,0,47.0,93.0,36.0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",135.0,116.0,36.0,#33外箱,1.0
Bin 1,Box 3,0,91,0,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",56.0,128.0,26.0,#20外箱,0.0
Bin 1,Box 30,158,135,0,57.0,75.0,36.0,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",187.0,173.0,36.0,#18A外箱,1.0
Bin 1,Box 6,0,164,0,149.0,55.0,40.0,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",75.0,192.0,40.0,#26外箱,0.0
Bin 1,Box 5,0,91,26,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",56.0,128.0,52.0,#20外箱,0.0
Bin 1,Box 11,160,0,36,55.0,135.0,36.0,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",188.0,68.0,72.0,#29外箱,1.0
Bin 1,Box 25,111,69,36,47.0,93.0,36.0,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",135.0,116.0,72.0,#33外箱,1.0
Bin 1,Box 36,158,135,36,57.0,75.0,40.0,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",187.0,173.0,76.0,#7A外箱,1.0
Bin 1,Box 8,0,164,40,149.0,55.0,40.0,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",75.0,192.0,80.0,#26外箱,0.0
Bin 1,Box 9,0,0,46,69.0,91.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",35.0,46.0,92.0,#9外箱,1.0
Bin 1,Box 19,69,0,46,91.0,69.0,46.0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",115.0,35.0,92.0,#9外箱,0.0
Bin 1,Box 7,0,91,52,111.0,73.0,26.0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",56.0,128.0,78.0,#20外箱,0.0
