bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",27.5,67.5,36,#29外箱,1.0
1,2,55,0,0,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",83.5,37.5,40,#7A外箱,1.0
1,4,112,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",160.5,104.5,36,#35外箱,1.0
1,5,0,149,0,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,177.5,36,#22外箱,0.0
1,3,0,0,36,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",27.5,74.5,76,#26外箱,1.0
1,6,112,0,36,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",157.5,34.5,82,#9外箱,0.0
1,17,160,69,36,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",187.5,136.5,72,#29外箱,1.0
1,8,87,75,36,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",123.5,130.5,62,#20外箱,1.0
1,22,0,149,36,75,57,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,177.5,76,#7A外箱,0.0
1,7,55,0,40,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",83.5,37.5,72,#16A外箱,1.0
1,9,87,75,62,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",123.5,130.5,88,#20外箱,1.0
1,15,55,0,72,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",83.5,37.5,108,#18A外箱,1.0
1,18,160,69,72,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",187.5,136.5,108,#29外箱,1.0
1,11,0,0,76,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",27.5,67.5,112,#29外箱,1.0
1,28,0,149,76,75,57,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,177.5,108,#16A外箱,0.0
1,13,112,0,82,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",157.5,34.5,128,#9外箱,0.0
1,10,87,75,88,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",123.5,130.5,114,#20外箱,1.0
1,24,55,0,108,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",83.5,37.5,148,#7A外箱,1.0
1,19,160,69,108,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",187.5,143.5,148,#26外箱,1.0
1,12,0,0,112,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,148,#33外箱,1.0
1,14,87,75,114,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",123.5,130.5,140,#20外箱,1.0
1,20,112,0,128,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",159.5,28.5,164,#22外箱,0.0
1,25,87,75,140,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",123.5,130.5,166,#20外箱,1.0
1,16,0,0,148,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,184,#33外箱,1.0
1,30,55,0,148,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",83.5,37.5,180,#16A外箱,1.0
1,21,160,69,148,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",187.5,143.5,188,#26外箱,1.0
1,26,112,0,164,93,47,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",158.5,23.5,200,#33外箱,0.0
1,27,87,75,166,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",114.5,133.5,194,#13外箱,1.0
1,32,55,0,180,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",83.5,37.5,220,#7A外箱,1.0
1,23,0,0,184,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,220,#33外箱,1.0
1,33,160,69,188,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",183.5,115.5,224,#33外箱,1.0
1,31,87,75,194,69,91,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",121.5,120.5,240,#9外箱,1.0
1,29,112,0,200,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",159.5,28.5,236,#22外箱,0.0
