bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,55,135,36
1,2,55,0,0,57,75,40
1,3,0,0,36,55,149,40
1,4,112,0,0,97,209,36
1,5,0,149,0,95,57,36
1,6,112,0,36,91,69,46
1,7,55,0,40,57,75,32
1,8,87,75,36,73,111,26
1,9,87,75,62,73,111,26
1,10,87,75,88,73,111,26
1,11,0,0,76,55,135,36
1,12,0,0,112,47,93,36
1,13,112,0,82,91,69,46
1,14,87,75,114,73,111,26
1,15,55,0,72,57,75,36
1,16,0,0,148,47,93,36
1,17,160,69,36,55,135,36
1,18,160,69,72,55,135,36
1,19,160,69,108,55,149,40
1,20,112,0,128,95,57,36
1,21,160,69,148,55,149,40
1,22,0,149,36,75,57,40
1,23,0,0,184,47,93,36
1,24,55,0,108,57,75,40
1,25,87,75,140,73,111,26
1,26,112,0,164,93,47,36
1,27,87,75,166,55,117,28
1,28,0,149,76,75,57,32
1,29,112,0,200,95,57,36
1,30,55,0,148,57,75,32
1,31,87,75,194,69,91,46
1,32,55,0,180,57,75,40
1,33,160,69,188,47,93,36
