bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#29,65.0,25.0,36.0,67.5,27.5,36.0,0.0,2.5,2.5,0,130,50,36.0
1,#16A,35.0,26.0,32.0,172.5,28.5,32.0,0.0,137.5,2.5,0,70,52,32.0
1,#33,44.0,21.0,36.0,46.5,78.5,36.0,0.0,2.5,57.5,0,88,42,36.0
1,#9,43.0,32.0,46.0,129.5,102.5,46.0,1.0,97.5,59.5,0,64,86,46.0
1,#26,72.0,25.0,40.0,191.5,131.5,40.0,1.0,166.5,59.5,0,50,144,40.0
1,#22,45.0,26.0,36.0,47.5,130.5,36.0,0.0,2.5,104.5,0,90,52,36.0
1,#7A,35.0,26.0,40.0,37.5,187.5,40.0,0.0,2.5,161.5,0,70,52,40.0
1,#18A,35.0,26.0,36.0,112.5,187.5,36.0,0.0,77.5,161.5,0,70,52,36.0
2,#35,102.0,46.0,36.0,48.5,104.5,36.0,1.0,2.5,2.5,0,92,204,36.0
2,#20,53.0,34.0,26.0,133.5,55.5,26.0,1.0,99.5,2.5,0,68,106,26.0
2,#13,56.0,25.0,28.0,155.5,138.5,28.0,0.0,99.5,113.5,0,112,50,28.0
