bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,107,51,18
1,2,0,0,18,70,30,18
1,3,0,0,36,50,31,18
1,4,0,51,0,50,31,18
1,5,0,30,18,40,31,16
1,6,0,82,0,30,70,18
1,7,0,0,54,50,31,18
1,8,0,31,34,40,31,18
1,9,107,0,0,70,30,18
1,10,0,0,72,40,31,16
1,11,0,152,0,39,58,13
1,12,70,0,18,40,31,18
1,13,0,82,18,30,61,14
1,14,40,31,18,50,31,18
1,15,30,82,0,30,61,14
1,16,110,0,18,48,37,23
1,17,50,51,0,49,26,18
1,18,0,31,52,40,31,20
1,19,0,152,13,26,49,18
1,20,0,0,88,40,31,18
1,21,0,82,32,30,61,14
1,22,177,0,0,39,58,13
1,23,107,30,0,61,30,14
1,24,60,77,0,107,51,18
1,25,40,31,36,50,31,18
1,26,39,143,0,30,77,20
1,27,69,128,0,30,70,18
