box_id,name,width,height,depth,quantity
1,#7,70,52,40,3
2,#9,86,64,46,3
3,#16,70,52,32,3
4,#18,70,52,36,3
5,#13,112,50,28,3
6,#20,106,68,26,3
7,#22,90,52,36,3
8,#26,144,50,40,3
9,#29,130,50,36,3
10,#33,88,42,36,4
11,#35,204,92,36,2
