bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#35,51.0,23.0,18.0,25.5,53.5,18.0,1.0,2.5,2.5,0,46,102,18.0
1,#22,22.5,13.0,18.0,66.5,25.0,18.0,1.0,53.5,2.5,0,26,45,18.0
1,#20,26.5,17.0,13.0,111.0,19.5,13.0,0.0,84.5,2.5,0,53,34,13.0
1,#7A,17.5,13.0,20.0,160.0,15.5,20.0,0.0,142.5,2.5,0,35,26,20.0
1,#18A,17.5,13.0,18.0,200.0,15.5,18.0,0.0,182.5,2.5,0,35,26,18.0
1,#26,36.0,12.5,20.0,155.0,69.5,20.0,1.0,142.5,33.5,0,25,72,20.0
1,#29,32.5,12.5,18.0,86.0,65.0,18.0,0.0,53.5,52.5,0,65,25,18.0
1,#9,21.5,16.0,23.0,85.0,98.5,23.0,0.0,63.5,82.5,0,43,32,23.0
1,#13,28.0,12.5,14.0,30.5,122.0,14.0,0.0,2.5,109.5,0,56,25,14.0
1,#16A,17.5,13.0,16.0,20.0,152.5,16.0,0.0,2.5,139.5,0,35,26,16.0
1,#33,22.0,10.5,18.0,24.5,181.0,18.0,0.0,2.5,170.5,0,44,21,18.0
