bin_name,box_name,position_x,position_y,width,height
1,1,0,0,57,75
1,2,57,0,57,75
1,3,0,75,111,73
1,4,114,0,91,69
1,5,0,148,75,57
1,6,114,69,57,95
1,7,171,69,47,93
1,8,75,164,135,55
2,1,0,0,209,97
2,2,0,97,149,55
2,3,0,152,117,55
