bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#35,102.0,46.0,36.0,48.5,104.5,36.0,1.0,2.5,2.5,0,92,204,36.0
1,#18A,35.0,26.0,36.0,125.5,37.5,36.0,1.0,99.5,2.5,0,52,70,36.0
1,#13,56.0,25.0,28.0,181.5,58.5,28.0,1.0,156.5,2.5,0,50,112,28.0
1,#7A,35.0,26.0,40.0,125.5,112.5,40.0,1.0,99.5,77.5,0,52,70,40.0
1,#33,44.0,21.0,36.0,195.5,163.5,36.0,1.0,174.5,119.5,0,42,88,36.0
1,#16A,35.0,26.0,32.0,134.5,178.5,32.0,0.0,99.5,152.5,0,70,52,32.0
2,#29,65.0,25.0,36.0,27.5,67.5,36.0,1.0,2.5,2.5,0,50,130,36.0
2,#26,72.0,25.0,40.0,129.5,27.5,40.0,0.0,57.5,2.5,0,144,50,40.0
2,#22,45.0,26.0,36.0,102.5,83.5,36.0,0.0,57.5,57.5,0,90,52,36.0
2,#9,43.0,32.0,46.0,184.5,100.5,46.0,1.0,152.5,57.5,0,64,86,46.0
2,#20,53.0,34.0,26.0,55.5,171.5,26.0,0.0,2.5,137.5,0,106,68,26.0
