bin_name,box_name,position_x,position_y,width,height
1,1,0,0,97,209
1,2,97,0,57,75
1,3,154,0,55,117
1,4,97,75,57,75
1,5,97,150,75,57
1,6,172,117,47,93
2,1,0,0,55,135
2,2,55,0,149,55
2,3,55,55,95,57
2,4,0,135,111,73
2,5,150,55,69,91
