bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,75,36
1,2,57,0,0,47,93,36
1,3,0,0,36,57,75,36
1,4,0,93,0,73,111,26
1,5,104,0,0,97,209,36
1,6,0,93,26,73,111,26
1,7,104,0,36,97,209,36
1,8,0,77,52,55,135,36
1,9,0,0,72,57,75,32
1,10,0,77,88,55,135,36
1,11,0,0,104,57,75,40
1,12,57,0,36,47,93,36
1,13,104,0,72,95,57,36
1,14,104,57,72,55,149,40
1,15,104,0,108,95,57,36
1,16,0,77,124,55,135,36
1,17,0,77,160,55,117,28
1,18,0,93,188,69,91,46
1,19,0,0,144,57,75,32
1,20,159,57,72,55,135,36
1,21,88,93,112,55,117,28
1,22,159,57,108,55,117,28
1,23,88,93,140,55,117,28
1,24,104,0,144,95,57,36
1,25,104,0,180,95,57,36
1,26,159,57,136,57,95,36
1,27,0,0,176,57,75,36
