box_name,quantity,packed_boxes,unpacked_boxes
#7A外箱,5,5,0
#9外箱,4,4,0
#16A外箱,5,5,0
#18A外箱,5,4,1
#13外箱,5,3,2
#20外箱,5,4,1
#22外箱,5,4,1
#26外箱,5,5,0
#29外箱,5,5,0
#33外箱,4,2,2
#35外箱,3,0,3
