bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
Bin 1,#18A外箱,36.0,29.0,38.0,36.0,1.0
Bin 1,#29外箱,36.0,85.0,68.0,36.0,1.0
Bin 1,#16A外箱,32.0,150.0,29.0,32.0,0.0
Bin 1,#20外箱,26.0,149.0,113.0,26.0,1.0
Bin 1,#29外箱,36.0,28.0,143.0,36.0,1.0
Bin 1,#33外箱,36.0,102.0,194.0,36.0,0.0
Bin 1,#20外箱,26.0,149.0,113.0,52.0,1.0
Bin 1,#18A外箱,36.0,150.0,29.0,68.0,0.0
Bin 1,#16A外箱,32.0,29.0,38.0,68.0,1.0
Bin 1,#13外箱,28.0,85.0,59.0,64.0,1.0
Bin 1,#33外箱,36.0,24.0,122.0,72.0,1.0
Bin 1,#13外箱,28.0,140.0,116.0,80.0,1.0
Bin 1,#33外箱,36.0,81.0,47.0,100.0,1.0
Bin 1,#7A外箱,40.0,29.0,38.0,108.0,1.0
Bin 1,#18A外箱,36.0,150.0,29.0,104.0,0.0
Bin 1,#22外箱,36.0,29.0,123.0,108.0,1.0
Bin 1,#22外箱,36.0,141.0,105.0,116.0,1.0
Bin 1,#33外箱,36.0,81.0,47.0,136.0,1.0
Bin 1,#7A外箱,40.0,150.0,29.0,144.0,0.0
Bin 1,#7A外箱,40.0,29.0,38.0,148.0,1.0
Bin 1,#22外箱,36.0,29.0,123.0,144.0,1.0
Bin 1,#7A外箱,40.0,141.0,95.0,156.0,1.0
Bin 1,#33外箱,36.0,81.0,47.0,172.0,1.0
Bin 1,#16A外箱,32.0,150.0,29.0,176.0,0.0
Bin 1,#22外箱,36.0,29.0,123.0,180.0,1.0
Bin 1,#18A外箱,36.0,29.0,38.0,184.0,1.0
Bin 1,#7A外箱,40.0,141.0,95.0,196.0,1.0
Bin 1,#18A外箱,36.0,150.0,29.0,212.0,0.0
Bin 1,#16A外箱,32.0,29.0,113.0,212.0,1.0
Bin 1,#16A外箱,32.0,29.0,38.0,216.0,1.0
Bin 2,#35外箱,36.0,49.0,105.0,36.0,1.0
Bin 2,#35外箱,36.0,146.0,105.0,36.0,1.0
Bin 2,#29外箱,36.0,28.0,68.0,72.0,1.0
Bin 2,#26外箱,40.0,83.0,75.0,76.0,1.0
Bin 2,#35外箱,36.0,159.0,105.0,72.0,1.0
Bin 2,#9外箱,46.0,46.0,184.0,82.0,0.0
Bin 2,#29外箱,36.0,28.0,68.0,108.0,1.0
Bin 2,#35外箱,36.0,159.0,105.0,108.0,1.0
Bin 2,#26外箱,40.0,83.0,75.0,116.0,1.0
Bin 2,#9外箱,46.0,46.0,184.0,128.0,0.0
Bin 2,#29外箱,36.0,28.0,68.0,144.0,1.0
Bin 2,#35外箱,36.0,159.0,105.0,144.0,1.0
Bin 2,#26外箱,40.0,83.0,75.0,156.0,1.0
Bin 2,#9外箱,46.0,46.0,184.0,174.0,0.0
Bin 2,#13外箱,28.0,28.0,59.0,172.0,1.0
Bin 2,#9外箱,46.0,145.0,46.0,190.0,1.0
Bin 2,#20外箱,26.0,147.0,147.0,170.0,1.0
Bin 2,#26外箱,40.0,83.0,75.0,196.0,1.0
Bin 2,#20外箱,26.0,147.0,147.0,196.0,1.0
Bin 2,#13外箱,28.0,28.0,59.0,200.0,1.0
Bin 2,#22外箱,36.0,48.0,178.0,210.0,0.0
Bin 2,#9外箱,46.0,145.0,46.0,236.0,1.0
Bin 2,#26外箱,40.0,83.0,75.0,236.0,1.0
Bin 2,#20外箱,26.0,147.0,147.0,222.0,1.0
Bin 2,#13外箱,28.0,28.0,59.0,228.0,1.0
