box_name,quantity,width,height,depth
#7A,0,75,57,40
#9,0,91,69,46
#16A,2,75,57,32
#18A,1,75,57,36
#13,0,117,55,28
#20,0,111,73,26
#22,0,95,57,36
#26,0,149,55,40
#29,0,135,55,36
#33,1,93,47,36
#35,0,209,97,36
