bin_name,box_name,position_x,position_y,width,height
1,1,0,0,57,95
1,2,57,0,47,93
1,3,0,95,91,69
1,4,104,0,57,75
1,5,161,0,55,149
1,6,0,164,135,55
1,7,104,75,57,75
1,8,135,150,75,57
2,1,0,0,97,209
2,2,97,0,117,55
2,3,97,55,73,111
