bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,111,73,26
1,2,0,73,0,209,97,36
1,3,0,73,36,209,97,36
1,4,0,0,26,75,57,32
1,5,0,73,72,117,55,28
1,6,111,0,0,91,69,46
1,7,0,170,0,93,47,36
1,8,111,0,46,95,57,36
1,9,0,128,72,135,55,36
1,10,0,0,58,75,57,32
1,11,0,128,108,149,55,40
1,12,0,0,90,75,57,32
1,13,0,128,148,149,55,40
1,14,0,73,100,117,55,28
1,15,111,0,82,91,69,46
1,16,135,69,72,73,111,26
1,17,0,0,122,75,57,36
1,18,0,0,158,75,57,32
1,19,0,0,190,75,57,36
1,20,111,0,128,75,57,36
1,21,111,0,164,75,57,40
1,22,0,170,36,93,47,36
1,23,111,0,204,75,57,32
