bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,55,117,28
1,2,0,0,28,57,75,40
1,3,57,0,0,135,55,36
1,4,0,117,0,209,97,36
1,5,0,117,36,209,97,36
1,6,57,0,36,117,55,28
1,7,0,0,68,57,75,36
1,8,57,55,0,135,55,36
1,9,57,55,36,149,55,40
1,10,0,117,72,57,95,36
1,11,57,55,76,135,55,36
1,12,0,0,104,57,75,32
1,13,57,110,72,111,73,26
1,14,0,117,108,57,95,36
1,15,57,110,98,111,73,26
1,16,0,117,144,57,95,36
1,17,0,117,180,69,91,46
1,18,57,0,64,117,55,28
1,19,69,110,124,95,57,36
1,20,69,110,160,95,57,36
1,21,57,0,92,117,55,28
1,22,0,0,136,57,75,36
1,23,57,55,112,135,55,36
1,24,0,0,172,57,75,32
1,25,0,0,204,57,75,36
1,26,57,0,120,93,47,36
1,27,57,0,156,93,47,36
