bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#13外箱,28,27.5,58.5,28,1.0
1,#29外箱,36,124.5,27.5,36,0.0
1,#29外箱,36,124.5,82.5,36,0.0
1,#35外箱,36,104.5,165.5,36,0.0
1,#7A外箱,40,28.5,37.5,68,1.0
1,#13外箱,28,115.5,27.5,64,0.0
1,#26外箱,40,131.5,82.5,76,0.0
1,#35外箱,36,104.5,165.5,72,0.0
1,#13外箱,28,115.5,27.5,92,0.0
1,#18A外箱,36,28.5,37.5,104,1.0
1,#20外箱,26,112.5,146.5,98,0.0
1,#22外箱,36,28.5,164.5,108,1.0
1,#29外箱,36,124.5,82.5,112,0.0
1,#13外箱,28,115.5,27.5,120,0.0
1,#20外箱,26,112.5,146.5,124,0.0
1,#16A外箱,32,28.5,37.5,136,1.0
1,#22外箱,36,28.5,164.5,144,1.0
1,#29外箱,36,124.5,82.5,148,0.0
1,#33外箱,36,103.5,23.5,156,0.0
1,#22外箱,36,116.5,138.5,160,0.0
1,#18A外箱,36,28.5,37.5,172,1.0
1,#22外箱,36,28.5,164.5,180,1.0
1,#33外箱,36,103.5,23.5,192,0.0
1,#22外箱,36,116.5,138.5,196,0.0
1,#16A外箱,32,28.5,37.5,204,1.0
1,#9外箱,46,34.5,162.5,226,1.0
1,#18A外箱,36,28.5,37.5,240,1.0
