bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,position_x,position_y,position_z,width,height,depth
1,#35,102.0,46.0,36.0,104.5,48.5,36.0,0.0,2.5,2.5,0,204,92,36.0
1,#33,44.0,21.0,36.0,46.5,120.5,36.0,0.0,2.5,99.5,0,88,42,36.0
1,#13,56.0,25.0,28.0,151.5,124.5,28.0,0.0,95.5,99.5,0,112,50,28.0
1,#18A,35.0,26.0,36.0,28.5,181.5,36.0,1.0,2.5,146.5,0,52,70,36.0
1,#7A,35.0,26.0,40.0,94.5,180.5,40.0,0.0,59.5,154.5,0,70,52,40.0
1,#16A,35.0,26.0,32.0,169.5,180.5,32.0,0.0,134.5,154.5,0,70,52,32.0
2,#9,43.0,32.0,46.0,34.5,45.5,46.0,1.0,2.5,2.5,0,64,86,46.0
2,#26,72.0,25.0,40.0,96.5,74.5,40.0,1.0,71.5,2.5,0,50,144,40.0
2,#20,53.0,34.0,26.0,160.5,55.5,26.0,1.0,126.5,2.5,0,68,106,26.0
2,#22,45.0,26.0,36.0,28.5,138.5,36.0,1.0,2.5,93.5,0,52,90,36.0
2,#29,65.0,25.0,36.0,124.5,176.5,36.0,0.0,59.5,151.5,0,130,50,36.0
