bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#7A,35.0,26.0,40,28.5,37.5,40,1.0,0,2.5,2.5,0,52,70,40
1,#35,102.0,46.0,36,105.5,104.5,36,1.0,0,59.5,2.5,0,92,204,36
1,#22,45.0,26.0,36,182.5,47.5,36,1.0,0,156.5,2.5,0,52,90,36
1,#29,65.0,25.0,36,27.5,142.5,36,1.0,0,2.5,77.5,0,50,130,36
1,#13,56.0,25.0,28,181.5,153.5,28,1.0,0,156.5,97.5,0,50,112,28
1,#13,56.0,25.0,28,181.5,153.5,56,1.0,1,156.5,97.5,28,50,112,28
1,#35,102.0,46.0,36,105.5,104.5,72,1.0,1,59.5,2.5,36,92,204,36
1,#33,44.0,21.0,36,177.5,46.5,72,1.0,1,156.5,2.5,36,42,88,36
1,#29,65.0,25.0,36,27.5,142.5,72,1.0,1,2.5,77.5,36,50,130,36
1,#16A,35.0,26.0,32,28.5,37.5,72,1.0,1,2.5,2.5,40,52,70,32
1,#13,56.0,25.0,28,188.5,153.5,84,1.0,2,163.5,97.5,56,50,112,28
1,#18A,35.0,26.0,36,28.5,37.5,108,1.0,2,2.5,2.5,72,52,70,36
1,#9,43.0,32.0,46,102.5,34.5,118,0.0,2,59.5,2.5,72,86,64,46
1,#33,44.0,21.0,36,184.5,46.5,108,1.0,2,163.5,2.5,72,42,88,36
1,#29,65.0,25.0,36,133.5,136.5,108,1.0,2,108.5,71.5,72,50,130,36
1,#20,53.0,34.0,26,69.5,130.5,98,1.0,2,35.5,77.5,72,68,106,26
1,#22,45.0,26.0,36,189.5,142.5,120,1.0,3,163.5,97.5,84,52,90,36
1,#20,53.0,34.0,26,69.5,130.5,124,1.0,3,35.5,77.5,98,68,106,26
1,#7A,35.0,26.0,40,28.5,37.5,148,1.0,3,2.5,2.5,108,52,70,40
1,#33,44.0,21.0,36,184.5,46.5,144,1.0,3,163.5,2.5,108,42,88,36
1,#29,65.0,25.0,36,133.5,136.5,144,1.0,3,108.5,71.5,108,50,130,36
1,#9,43.0,32.0,46,102.5,34.5,164,0.0,3,59.5,2.5,118,86,64,46
1,#22,45.0,26.0,36,189.5,142.5,156,1.0,4,163.5,97.5,120,52,90,36
1,#20,53.0,34.0,26,69.5,130.5,150,1.0,4,35.5,77.5,124,68,106,26
1,#26,72.0,25.0,40,133.5,143.5,184,1.0,4,108.5,71.5,144,50,144,40
1,#7A,35.0,26.0,40,28.5,37.5,188,1.0,4,2.5,2.5,148,52,70,40
1,#33,44.0,21.0,36,103.5,23.5,200,0.0,4,59.5,2.5,164,88,42,36
1,#13,56.0,25.0,28,60.5,133.5,178,1.0,5,35.5,77.5,150,50,112,28
1,#18A,35.0,26.0,36,189.5,132.5,192,1.0,5,163.5,97.5,156,52,70,36
1,#26,72.0,25.0,40,133.5,143.5,224,1.0,5,108.5,71.5,184,50,144,40
1,#18A,35.0,26.0,36,28.5,37.5,224,1.0,5,2.5,2.5,188,52,70,36
1,#16A,35.0,26.0,32,94.5,28.5,232,0.0,5,59.5,2.5,200,70,52,32
1,#18A,35.0,26.0,36,61.5,112.5,214,1.0,6,35.5,77.5,178,52,70,36
