box_id,name,width,height,depth,quantity
1,#7A外箱,35,26,20,4
2,#9外箱,43,32,23,3
3,#16A外箱,35,26,16,2
4,#18A外箱,35,26,18,1
5,#13外箱,56,25,14,1
6,#20外箱,53,34,13,5
7,#22外箱,45,26,18,2
8,#26外箱,72,25,20,3
9,#29外箱,65,25,18,3
10,#33外箱,44,21,18,4
11,#35外箱,102,46,18,1
