bin_name,box_name,position_x,position_y,width,height
1,1,0,0,75,57
1,2,0,57,57,75
1,3,75,0,135,55
1,4,57,57,55,149
1,5,112,55,57,95
1,6,0,132,57,75
1,7,112,150,91,69
1,8,169,55,47,93
2,1,0,0,97,209
2,2,97,0,73,111
2,3,97,111,117,55
