bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,57,95,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",28.5,47.5,36,#22外箱,1.0
1,2,57,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",105.5,104.5,36,#35外箱,1.0
1,8,154,0,0,55,135,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",181.5,67.5,36,#29外箱,1.0
1,5,0,95,0,57,95,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",28.5,142.5,36,#22外箱,1.0
1,4,0,0,36,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,68,#16A外箱,1.0
1,3,57,0,36,97,209,36,"(1.0, 0.0, 0.0, 1.0)",105.5,104.5,72,#35外箱,1.0
1,12,154,0,36,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",181.5,74.5,76,#26外箱,1.0
1,6,0,95,36,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,141.5,72,#33外箱,1.0
1,7,0,0,68,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,104,#18A外箱,1.0
1,10,57,0,72,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",102.5,34.5,118,#9外箱,0.0
1,14,57,69,72,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",93.5,124.5,98,#20外箱,1.0
1,13,0,95,72,57,95,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",28.5,142.5,108,#22外箱,1.0
1,17,154,0,76,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",181.5,58.5,104,#13外箱,1.0
1,16,57,69,98,73,111,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",93.5,124.5,124,#20外箱,1.0
1,9,0,0,104,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,136,#16A外箱,1.0
1,19,154,0,104,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",181.5,58.5,132,#13外箱,1.0
1,20,0,95,108,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,132.5,148,#7A外箱,1.0
1,18,57,0,118,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",102.5,34.5,164,#9外箱,0.0
1,11,0,0,136,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,168,#16A外箱,1.0
1,21,57,0,164,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",104.5,28.5,200,#22外箱,0.0
1,15,0,0,168,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,204,#18A外箱,1.0
1,22,57,0,200,93,47,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",103.5,23.5,236,#33外箱,0.0
