bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,95,57,36
1,2,0,57,0,91,69,46
1,3,95,0,0,97,209,36
1,4,0,126,0,69,91,46
1,5,95,0,36,97,209,36
1,6,0,0,36,75,57,36
1,7,0,57,46,95,57,36
1,8,95,0,72,55,135,36
1,9,0,0,72,75,57,40
1,10,150,0,72,55,149,40
1,11,95,0,108,55,149,40
1,12,0,126,46,47,93,36
1,13,0,0,112,75,57,32
1,14,0,57,82,95,57,36
1,15,0,0,144,75,57,36
1,16,0,0,180,75,57,40
1,17,70,149,72,135,55,36
1,18,0,126,82,47,93,36
1,19,0,126,118,47,93,36
1,20,0,57,118,95,57,36
1,21,0,57,154,75,57,32
1,22,150,0,112,55,149,40
1,23,0,57,186,75,57,32
1,24,95,0,148,55,117,28
1,25,150,0,152,55,135,36
1,26,0,126,154,57,75,36
1,27,95,0,176,55,117,28
1,28,0,126,190,57,75,40
1,29,150,0,188,57,75,36
1,30,70,149,108,135,55,36
1,31,95,0,204,55,117,28
1,32,70,149,144,95,57,36
1,33,70,149,180,91,69,46
1,34,161,75,188,57,75,40
2,1,0,0,0,111,73,26
2,2,0,0,26,111,73,26
