box_id,name,width,height,depth,quantity
1,#7A,35,26,20,2
2,#9,43,32,23,2
3,#16A,35,26,16,3
4,#18A,35,26,18,2
5,#13,56,25,14,3
6,#20,53,34,13,2
7,#22,45,26,18,3
8,#26,72,25,20,2
9,#29,65,25,18,2
10,#33,44,21,18,4
11,#35,102,46,18,1
