box_id,name,width,height,depth,quantity
1,#7A,35,26,20,5
2,#9,43,32,23,2
3,#16A,35,26,16,2
4,#18A,35,26,18,2
5,#13,56,25,14,0
6,#20,53,34,13,0
7,#22,45,26,18,0
8,#26,72,25,20,0
9,#29,65,25,18,0
10,#33,44,21,18,0
11,#35,102,46,18,0
