box_id,name,width,height,depth,quantity
1,#7A,70,52,40,0
2,#9,86,64,46,5
3,#16A,70,52,32,0
4,#18A,70,52,36,0
5,#13,112,50,28,0
6,#20,106,68,26,5
7,#22,90,52,36,0
8,#26,144,50,40,5
9,#29,130,50,36,5
10,#33,88,42,36,0
11,#35,204,92,36,3
