box_id,name,width,height,depth,quantity
1,#7A,70,52,40,4
2,#9,86,64,46,2
3,#16A,70,52,32,2
4,#18A,70,52,36,4
5,#13,112,50,28,4
6,#20,106,68,26,3
7,#22,90,52,36,3
8,#26,144,50,40,2
9,#29,130,50,36,4
10,#33,88,42,36,4
11,#35,204,92,36,2
