box_name,bin_1
#7A外箱,1
#9外箱,2
#16A外箱,2
#18A外箱,3
#13外箱,4
#20外箱,2
#22外箱,4
#26外箱,2
#29外箱,4
#33外箱,2
#35外箱,2
