bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,32,#16A外箱,1.0
1,2,57,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",105.5,104.5,36,#35外箱,1.0
1,7,154,0,0,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",181.5,74.5,40,#26外箱,1.0
1,4,0,75,0,55,117,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",27.5,133.5,28,#13外箱,1.0
1,6,0,0,32,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,68,#18A外箱,1.0
1,3,57,0,36,69,91,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",91.5,45.5,82,#9外箱,1.0
1,5,32,91,36,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",87.5,127.5,62,#20外箱,0.0
1,10,32,164,36,135,55,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",99.5,191.5,72,#29外箱,0.0
1,8,154,0,40,57,95,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",182.5,47.5,76,#22外箱,1.0
1,11,0,0,68,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,37.5,108,#7A外箱,1.0
1,9,57,0,82,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",80.5,46.5,118,#33外箱,1.0
