bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
Bin 1,Box 1,0.0,0.0,0.0,75.0,57.0,36.0,"(0.3607843137254902, 0.3607843137254902, 1.0, 1.0)",38.0,29.0,36.0,#18A外箱,0.0
Bin 1,Box 3,111.0,0.0,0.0,55.0,149.0,40.0,"(1.0, 0.0, 0.0, 1.0)",139.0,75.0,40.0,#26外箱,1.0
Bin 1,Box 10,166.0,0.0,0.0,47.0,93.0,36.0,"(0.39215686274509803, 0.39215686274509803, 1.0, 1.0)",190.0,47.0,36.0,#33外箱,1.0
Bin 1,Box 2,0.0,57.0,0.0,111.0,73.0,26.0,"(0.8941176470588235, 0.8941176470588235, 1.0, 1.0)",56.0,94.0,26.0,#20外箱,0.0
Bin 1,Box 5,0.0,149.0,0.0,117.0,55.0,28.0,"(0.6039215686274509, 0.6039215686274509, 1.0, 1.0)",59.0,177.0,28.0,#13外箱,0.0
Bin 1,Box 4,0.0,57.0,26.0,93.0,47.0,36.0,"(0.39215686274509803, 0.39215686274509803, 1.0, 1.0)",47.0,81.0,62.0,#33外箱,0.0
Bin 1,Box 12,0.0,136.31634910603418,28.0,111.0,73.0,26.0,"(0.8941176470588235, 0.8941176470588235, 1.0, 1.0)",56.0,173.0,54.0,#20外箱,0.0
Bin 1,Box 6,0.0,0.0,36.0,75.0,57.0,32.0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",38.0,29.0,68.0,#16A外箱,0.0
Bin 1,Box 24,166.0,0.0,36.0,47.0,93.0,36.0,"(0.39215686274509803, 0.39215686274509803, 1.0, 1.0)",190.0,47.0,72.0,#33外箱,1.0
Bin 1,Box 8,111.0,0.0,40.0,55.0,149.0,40.0,"(1.0, 0.0, 0.0, 1.0)",139.0,75.0,80.0,#26外箱,1.0
Bin 1,Box 13,0.0,136.31634910603418,54.0,111.0,73.0,26.0,"(0.8941176470588235, 0.8941176470588235, 1.0, 1.0)",56.0,173.0,80.0,#20外箱,0.0
Bin 1,Box 17,0.0,57.0,62.0,93.0,47.0,36.0,"(0.39215686274509803, 0.39215686274509803, 1.0, 1.0)",47.0,81.0,98.0,#33外箱,0.0
Bin 1,Box 7,0.0,0.0,68.0,75.0,57.0,36.0,"(0.3607843137254902, 0.3607843137254902, 1.0, 1.0)",38.0,29.0,104.0,#18A外箱,0.0
Bin 1,Box 9,111.0,0.0,80.0,55.0,149.0,40.0,"(1.0, 0.0, 0.0, 1.0)",139.0,75.0,120.0,#26外箱,1.0
Bin 1,Box 14,0.0,149.0,80.0,117.0,55.0,28.0,"(0.6039215686274509, 0.6039215686274509, 1.0, 1.0)",59.0,177.0,108.0,#13外箱,0.0
Bin 1,Box 16,0.0,0.0,104.0,75.0,57.0,32.0,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",38.0,29.0,136.0,#16A外箱,0.0
Bin 1,Box 19,0.0,149.0,108.0,117.0,55.0,28.0,"(0.6039215686274509, 0.6039215686274509, 1.0, 1.0)",59.0,177.0,136.0,#13外箱,0.0
Bin 1,Box 11,111.0,0.0,120.0,55.0,149.0,40.0,"(1.0, 0.0, 0.0, 1.0)",139.0,75.0,160.0,#26外箱,1.0
Bin 1,Box 18,0.0,0.0,136.0,75.0,57.0,36.0,"(0.3607843137254902, 0.3607843137254902, 1.0, 1.0)",38.0,29.0,172.0,#18A外箱,0.0
Bin 1,Box 21,0.0,149.0,136.0,117.0,55.0,28.0,"(0.6039215686274509, 0.6039215686274509, 1.0, 1.0)",59.0,177.0,164.0,#13外箱,0.0
Bin 1,Box 15,111.0,0.0,160.0,55.0,135.0,36.0,"(1.0, 0.5647058823529412, 0.5647058823529412, 1.0)",139.0,68.0,196.0,#29外箱,1.0
Bin 1,Box 22,0.0,149.0,164.0,117.0,55.0,28.0,"(0.6039215686274509, 0.6039215686274509, 1.0, 1.0)",59.0,177.0,192.0,#13外箱,0.0
Bin 1,Box 23,0.0,0.0,172.0,75.0,57.0,36.0,"(0.3607843137254902, 0.3607843137254902, 1.0, 1.0)",38.0,29.0,208.0,#18A外箱,0.0
Bin 1,Box 20,111.0,0.0,196.0,55.0,135.0,36.0,"(1.0, 0.5647058823529412, 0.5647058823529412, 1.0)",139.0,68.0,232.0,#29外箱,1.0
