box_name,quantity,width,height,depth
#7A外箱,4,75,57,40
#9外箱,3,91,69,46
#16A外箱,3,75,57,32
#18A外箱,4,75,57,36
#13外箱,3,117,55,28
#20外箱,2,111,73,26
#22外箱,5,95,57,36
#26外箱,3,149,55,40
#29外箱,4,135,55,36
#33外箱,3,93,47,36
#35外箱,2,209,97,36
