box_name,quantity,packed_boxes,unpacked_boxes
#7A外箱,4,4,0
#9外箱,3,3,0
#16A外箱,3,3,0
#18A外箱,4,4,0
#13外箱,3,3,0
#20外箱,2,1,1
#22外箱,5,5,0
#26外箱,3,3,0
#29外箱,4,4,0
#33外箱,3,3,0
#35外箱,2,2,0
