bin_name,box_name,position_x,position_y,position_z,width,height,depth,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,55,149,40,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",27.5,74.5,40,#26外箱,1.0
1,2,55,0,0,97,209,36,"(1.0, 0.0, 0.0, 1.0)",103.5,104.5,36,#35外箱,1.0
1,4,55,0,36,117,55,28,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",113.5,27.5,64,#13外箱,0.0
1,8,57,69,36,111,73,26,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",112.5,105.5,62,#20外箱,0.0
1,10,30,149,36,135,55,36,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",97.5,176.5,72,#29外箱,0.0
1,3,0,0,40,47,93,36,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",23.5,46.5,76,#33外箱,1.0
1,6,57,0,64,91,69,46,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",102.5,34.5,110,#9外箱,0.0
1,5,0,0,76,57,75,40,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",28.5,37.5,116,#7A外箱,1.0
1,9,57,0,110,95,57,36,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",104.5,28.5,146,#22外箱,0.0
1,7,0,0,116,57,75,32,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",28.5,37.5,148,#16A外箱,1.0
1,11,0,0,148,57,75,36,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",28.5,37.5,184,#18A外箱,1.0
