box_name,quantity,packed_boxes,unpacked_boxes
#7A,3,3,0
#9,2,2,0
#16A,3,3,0
#18A,4,4,0
#13,3,3,0
#20,4,4,0
#22,3,3,0
#26,2,2,0
#29,2,2,0
#33,3,3,0
#35,1,1,0
