bin_name,box_name,position_x,position_y,position_z,width,height,depth,layer,color,X_cog,Y_cog,Z_cog,matched_box_name,orientation
1,1,0,0,0,91,69,46,0,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,34.5,46,#9,0.0
1,3,111,0,0,97,209,36,0,"(1.0, 0.0, 0.0, 1.0)",159.5,104.5,36,#35,1.0
1,2,0,69,0,111,73,26,0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,105.5,26,#20,0.0
1,6,0,142,0,111,73,26,0,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,178.5,26,#20,0.0
1,7,0,69,26,111,73,26,1,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,105.5,52,#20,0.0
1,10,0,142,26,111,73,26,1,"(0.4235294117647059, 0.4235294117647059, 1.0, 1.0)",55.5,178.5,52,#20,0.0
1,4,91,0,36,117,55,28,1,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",149.5,27.5,64,#13,0.0
1,5,111,55,36,55,149,40,1,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",138.5,129.5,76,#26,1.0
1,30,166,55,36,47,93,36,1,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",189.5,101.5,72,#33,1.0
1,9,0,0,46,75,57,36,1,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,82,#18A,0.0
1,11,0,69,52,91,69,46,2,"(0.6588235294117647, 0.6588235294117647, 1.0, 1.0)",45.5,103.5,98,#9,0.0
1,16,0,142,52,95,57,36,2,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,170.5,88,#22,0.0
1,15,91,0,64,117,55,28,2,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",149.5,27.5,92,#13,0.0
1,8,111,55,76,55,135,36,2,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",138.5,122.5,112,#29,1.0
1,12,0,0,82,75,57,36,2,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,118,#18A,0.0
1,21,0,142,88,95,57,36,3,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,170.5,124,#22,0.0
1,20,91,0,92,93,47,36,3,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",137.5,23.5,128,#33,0.0
1,19,0,69,98,75,57,32,3,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,97.5,130,#16A,0.0
1,14,111,55,112,55,149,40,3,"(0.7764705882352941, 0.7764705882352941, 1.0, 1.0)",138.5,129.5,152,#26,1.0
1,13,0,0,118,75,57,36,3,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,28.5,154,#18A,0.0
1,22,0,142,124,95,57,36,4,"(0.3764705882352941, 0.3764705882352941, 1.0, 1.0)",47.5,170.5,160,#22,0.0
1,28,91,0,128,93,47,36,4,"(0.2588235294117647, 0.2588235294117647, 1.0, 1.0)",137.5,23.5,164,#33,0.0
1,25,0,69,130,75,57,40,4,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,97.5,170,#7A,0.0
1,23,111,55,152,55,135,36,4,"(0.596078431372549, 0.596078431372549, 1.0, 1.0)",138.5,122.5,188,#29,1.0
1,17,0,0,154,75,57,32,4,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,28.5,186,#16A,0.0
1,27,0,142,160,75,57,40,5,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,170.5,200,#7A,0.0
1,26,0,69,170,75,57,32,5,"(0.19607843137254902, 0.19607843137254902, 1.0, 1.0)",37.5,97.5,202,#16A,0.0
1,18,0,0,186,75,57,40,5,"(0.2980392156862745, 0.2980392156862745, 1.0, 1.0)",37.5,28.5,226,#7A,0.0
1,24,111,55,188,55,117,28,5,"(0.32941176470588235, 0.32941176470588235, 1.0, 1.0)",138.5,113.5,216,#13,1.0
1,29,0,69,202,75,57,36,6,"(0.25098039215686274, 0.25098039215686274, 1.0, 1.0)",37.5,97.5,238,#18A,0.0
