bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,91,69,46
1,2,0,69,0,111,73,26
1,3,111,0,0,97,209,36
1,4,91,0,36,117,55,28
1,5,111,55,36,55,149,40
1,6,0,142,0,111,73,26
1,7,0,69,26,111,73,26
1,8,111,55,76,55,135,36
1,9,0,0,46,75,57,36
1,10,0,142,26,111,73,26
1,11,0,69,52,91,69,46
1,12,0,0,82,75,57,36
1,13,0,0,118,75,57,36
1,14,111,55,112,55,149,40
1,15,91,0,64,117,55,28
1,16,0,142,52,95,57,36
1,17,0,0,154,75,57,32
1,18,0,0,186,75,57,40
1,19,0,69,98,75,57,32
1,20,91,0,92,93,47,36
1,21,0,142,88,95,57,36
1,22,0,142,124,95,57,36
1,23,111,55,152,55,135,36
1,24,111,55,188,55,117,28
1,25,0,69,130,75,57,40
1,26,0,69,170,75,57,32
1,27,0,142,160,75,57,40
1,28,91,0,128,93,47,36
1,29,0,69,202,75,57,36
1,30,166,55,36,47,93,36
