bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,95,36
1,2,57,0,0,69,91,46
1,3,0,95,0,209,97,36
1,4,126,0,0,91,69,46
1,5,0,95,36,209,97,36
1,6,0,0,36,57,75,40
1,7,0,95,72,55,117,28
1,8,57,0,46,57,95,36
1,9,55,95,72,135,55,36
1,10,126,0,46,91,69,46
1,11,57,0,82,69,91,46
1,12,55,150,72,135,55,36
1,13,0,95,100,55,117,28
1,14,55,95,108,149,55,40
1,15,126,0,92,91,69,46
1,16,57,0,128,57,95,36
1,17,55,150,108,135,55,36
1,18,0,95,128,55,117,28
1,19,126,0,138,93,47,36
1,20,57,0,164,57,95,36
1,21,55,95,148,149,55,40
1,22,55,95,188,135,55,36
1,23,0,95,156,55,117,28
1,24,0,0,76,57,75,36
1,25,0,0,112,57,75,36
1,26,0,0,148,57,75,40
1,27,0,0,188,57,75,36
1,28,57,0,200,57,75,40
1,29,55,150,144,135,55,36
1,30,126,0,174,75,57,32
1,31,55,150,180,75,57,40
1,32,130,150,180,75,57,36
1,33,0,95,184,47,93,36
1,34,126,0,206,75,57,32
2,1,0,0,0,73,111,26
2,2,0,0,26,73,111,26
2,3,73,0,0,75,57,32
2,4,0,111,0,47,93,36
