bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#22外箱,36,28.5,47.5,36,1.0
1,#9外箱,46,91.5,45.5,46,1.0
1,#9外箱,46,171.5,34.5,46,0.0
1,#35外箱,36,104.5,143.5,36,0.0
1,#7A外箱,40,28.5,37.5,76,1.0
1,#35外箱,36,104.5,143.5,72,0.0
1,#22外箱,36,85.5,47.5,82,1.0
1,#9外箱,46,171.5,34.5,92,0.0
1,#13外箱,28,27.5,153.5,100,1.0
1,#29外箱,36,122.5,122.5,108,0.0
1,#29外箱,36,122.5,177.5,108,0.0
1,#18A外箱,36,28.5,37.5,112,1.0
1,#9外箱,46,91.5,45.5,128,1.0
1,#9外箱,46,171.5,34.5,138,0.0
1,#13外箱,28,27.5,153.5,128,1.0
1,#26外箱,40,129.5,122.5,148,0.0
1,#29外箱,36,122.5,177.5,144,0.0
1,#18A外箱,36,28.5,37.5,148,1.0
1,#22外箱,36,85.5,47.5,164,1.0
1,#13外箱,28,27.5,153.5,156,1.0
1,#33外箱,36,172.5,23.5,174,0.0
1,#29外箱,36,122.5,177.5,180,0.0
1,#7A外箱,40,28.5,37.5,188,1.0
1,#26外箱,40,129.5,122.5,188,0.0
1,#13外箱,28,27.5,153.5,184,1.0
1,#22外箱,36,85.5,47.5,200,1.0
1,#16A外箱,32,163.5,28.5,206,0.0
1,#7A外箱,40,92.5,178.5,220,0.0
1,#18A外箱,36,167.5,178.5,216,0.0
1,#33外箱,36,23.5,141.5,220,1.0
1,#18A外箱,36,28.5,37.5,224,1.0
1,#29外箱,36,122.5,122.5,224,0.0
1,#7A外箱,40,85.5,37.5,240,1.0
1,#16A外箱,32,163.5,28.5,238,0.0
2,#20外箱,26,36.5,55.5,26,1.0
2,#16A外箱,32,110.5,28.5,32,0.0
2,#33外箱,36,23.5,157.5,36,1.0
2,#20外箱,26,36.5,55.5,52,1.0
