box_name,bin_1,bin_2
#7A外箱,4,0
#9外箱,5,0
#16A外箱,2,1
#18A外箱,4,0
#13外箱,4,0
#20外箱,0,2
#22外箱,4,0
#26外箱,2,0
#29外箱,5,0
#33外箱,2,1
#35外箱,2,0
