bin_name,matched_box_name,conveyor_x,conveyor_y,conveyor_z,X_cog,Y_cog,Z_cog,orientation,layer,position_x,position_y,position_z,width,height,depth
1,#9,43.0,32.0,46,45.5,34.5,46,0.0,0,2.5,2.5,0,86,64,46
1,#9,43.0,32.0,46,136.5,34.5,46,0.0,0,93.5,2.5,0,86,64,46
1,#35,102.0,46.0,36,104.5,117.5,36,0.0,0,2.5,71.5,0,204,92,36
1,#33,44.0,21.0,36,46.5,189.5,36,0.0,0,2.5,168.5,0,88,42,36
1,#33,44.0,21.0,36,139.5,189.5,36,0.0,0,95.5,168.5,0,88,42,36
1,#35,102.0,46.0,36,104.5,117.5,72,0.0,1,2.5,71.5,36,204,92,36
1,#33,44.0,21.0,36,46.5,189.5,72,0.0,1,2.5,168.5,36,88,42,36
1,#16A,35.0,26.0,32,37.5,28.5,78,0.0,1,2.5,2.5,46,70,52,32
1,#9,43.0,32.0,46,136.5,34.5,92,0.0,1,93.5,2.5,46,86,64,46
1,#29,65.0,25.0,36,67.5,96.5,108,0.0,2,2.5,71.5,72,130,50,36
1,#20,53.0,34.0,26,171.5,124.5,98,1.0,2,137.5,71.5,72,68,106,26
1,#29,65.0,25.0,36,67.5,151.5,108,0.0,2,2.5,126.5,72,130,50,36
1,#18A,35.0,26.0,36,37.5,28.5,114,0.0,2,2.5,2.5,78,70,52,36
1,#22,45.0,26.0,36,138.5,28.5,128,0.0,2,93.5,2.5,92,90,52,36
1,#13,56.0,25.0,28,176.5,127.5,126,1.0,3,151.5,71.5,98,50,112,28
1,#26,72.0,25.0,40,74.5,96.5,148,0.0,3,2.5,71.5,108,144,50,40
1,#26,72.0,25.0,40,74.5,151.5,148,0.0,3,2.5,126.5,108,144,50,40
1,#7A,35.0,26.0,40,37.5,28.5,154,0.0,3,2.5,2.5,114,70,52,40
1,#9,43.0,32.0,46,136.5,34.5,174,0.0,3,93.5,2.5,128,86,64,46
1,#13,56.0,25.0,28,176.5,127.5,154,1.0,4,151.5,71.5,126,50,112,28
1,#26,72.0,25.0,40,74.5,96.5,188,0.0,4,2.5,71.5,148,144,50,40
1,#13,56.0,25.0,28,58.5,151.5,176,0.0,4,2.5,126.5,148,112,50,28
1,#18A,35.0,26.0,36,37.5,28.5,190,0.0,4,2.5,2.5,154,70,52,36
1,#16A,35.0,26.0,32,128.5,28.5,206,0.0,4,93.5,2.5,174,70,52,32
1,#22,45.0,26.0,36,177.5,116.5,190,1.0,5,151.5,71.5,154,52,90,36
1,#7A,35.0,26.0,40,37.5,152.5,216,0.0,5,2.5,126.5,176,70,52,40
1,#26,72.0,25.0,40,74.5,96.5,228,0.0,5,2.5,71.5,188,144,50,40
1,#7A,35.0,26.0,40,37.5,28.5,230,0.0,5,2.5,2.5,190,70,52,40
1,#16A,35.0,26.0,32,128.5,28.5,238,0.0,5,93.5,2.5,206,70,52,32
1,#18A,35.0,26.0,36,177.5,106.5,226,1.0,6,151.5,71.5,190,52,70,36
2,#20,53.0,34.0,26,36.5,55.5,26,1.0,0,2.5,2.5,0,68,106,26
2,#20,53.0,34.0,26,36.5,55.5,52,1.0,1,2.5,2.5,26,68,106,26
