bin_name,box_name,position_x,position_y,width,height
1,1,0,0,57,75
1,2,57,0,149,55
1,3,0,75,55,135
1,4,57,55,47,93
1,5,104,55,57,95
1,6,55,150,91,69
1,7,161,55,57,75
1,8,161,130,57,75
2,1,0,0,209,97
2,2,0,97,73,111
2,3,73,97,117,55
