bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,91,69,46
1,2,0,69,0,209,97,36
1,3,0,69,36,209,97,36
1,4,91,0,0,91,69,46
1,5,0,69,72,135,55,36
1,6,0,124,72,135,55,36
1,7,0,0,46,75,57,32
1,8,0,0,78,75,57,36
1,9,91,0,46,91,69,46
1,10,0,0,114,75,57,40
1,11,0,166,0,93,47,36
1,12,0,69,108,149,55,40
1,13,0,166,36,93,47,36
1,14,91,0,92,95,57,36
1,15,93,166,0,93,47,36
1,16,135,69,72,73,111,26
1,17,0,69,148,149,55,40
1,18,0,124,108,149,55,40
1,19,0,69,188,149,55,40
1,20,91,0,128,91,69,46
1,21,0,124,148,117,55,28
1,22,0,0,154,75,57,36
1,23,0,0,190,75,57,40
1,24,91,0,174,75,57,32
1,25,0,124,176,75,57,40
1,26,91,0,206,75,57,32
1,27,149,69,98,55,117,28
1,28,149,69,126,55,117,28
1,29,149,69,154,57,95,36
1,30,149,69,190,57,75,36
2,1,0,0,0,73,111,26
2,2,0,0,26,73,111,26
