box_name,bin_1
#7A外箱,4
#9外箱,3
#16A外箱,2
#18A外箱,1
#13外箱,1
#20外箱,5
#22外箱,2
#26外箱,3
#29外箱,3
#33外箱,4
#35外箱,1
