bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,57,75,36
1,2,57,0,0,47,93,36
1,3,0,93,0,209,97,36
1,4,0,75,36,55,135,36
1,5,55,93,36,149,55,40
1,6,104,0,0,91,69,46
1,7,104,77,76,111,73,26
1,8,0,0,36,57,75,40
1,9,57,0,36,47,93,36
1,10,104,0,46,95,57,36
1,11,104,77,102,111,73,26
1,12,55,150,36,149,55,40
1,13,104,77,128,111,73,26
1,14,0,0,76,57,75,40
1,15,0,75,72,47,93,36
1,16,104,0,82,91,69,46
1,17,55,150,76,135,55,36
1,18,104,0,128,95,57,36
1,19,104,77,154,111,73,26
1,20,0,0,116,57,75,40
1,21,104,77,180,111,73,26
1,22,55,150,112,135,55,36
1,23,55,150,148,149,55,40
1,24,104,0,164,91,69,46
1,25,57,0,72,47,93,36
1,26,88,93,206,117,55,28
1,27,0,0,156,57,75,32
1,28,0,0,188,57,75,32
1,29,55,150,188,75,57,40
