bin_name,box_name,position_x,position_y,position_z,width,height,depth
1,1,0,0,0,97,209,36
1,2,0,0,36,57,95,36
1,3,97,0,0,97,209,36
1,4,0,0,72,69,91,46
1,5,0,95,36,55,117,28
1,6,97,0,36,55,135,36
1,7,152,0,36,55,149,40
1,8,0,95,64,55,117,28
1,9,0,0,118,57,95,36
1,10,0,0,154,57,75,40
1,11,0,95,92,57,95,36
1,12,97,0,72,55,135,36
1,13,152,0,76,55,135,36
1,14,0,95,128,57,95,36
1,15,0,0,194,57,75,32
1,16,0,95,164,47,93,36
1,17,57,135,36,57,75,32
1,18,97,0,108,55,117,28
1,19,152,0,112,55,149,40
1,20,114,149,36,91,69,46
1,21,152,0,152,55,149,40
1,22,114,149,82,91,69,46
1,23,152,0,192,55,149,40
1,24,57,135,68,57,75,32
1,25,114,149,128,91,69,46
1,26,0,95,200,57,75,40
1,27,97,0,136,55,117,28
1,28,57,135,100,57,75,32
1,29,97,0,164,47,93,36
1,30,57,135,132,57,75,36
1,31,57,135,168,57,75,40
1,32,97,0,200,47,93,36
1,33,114,149,174,75,57,36
2,1,0,0,0,111,73,26
2,2,0,0,26,111,73,26
2,3,0,73,0,111,73,26
2,4,0,0,52,111,73,26
