bin_name,matched_box_name,depth,X_cog,Y_cog,Z_cog,orientation
1,#35外箱,36,48.5,104.5,36,1.0
1,#35外箱,36,145.5,104.5,36,1.0
1,#22外箱,36,28.5,47.5,72,1.0
1,#29外箱,36,124.5,67.5,72,1.0
1,#26外箱,40,179.5,74.5,76,1.0
1,#13外箱,28,27.5,153.5,64,1.0
1,#16A外箱,32,85.5,172.5,68,1.0
1,#9外箱,46,159.5,183.5,82,0.0
1,#13外箱,28,27.5,153.5,92,1.0
1,#16A外箱,32,85.5,172.5,100,1.0
1,#9外箱,46,34.5,45.5,118,1.0
1,#29外箱,36,124.5,67.5,108,1.0
1,#29外箱,36,179.5,67.5,112,1.0
1,#9外箱,46,159.5,183.5,128,0.0
1,#22外箱,36,28.5,142.5,128,1.0
1,#16A外箱,32,85.5,172.5,132,1.0
1,#13外箱,28,124.5,58.5,136,1.0
1,#26外箱,40,179.5,74.5,152,1.0
1,#22外箱,36,28.5,47.5,154,1.0
1,#22外箱,36,28.5,142.5,164,1.0
1,#9外箱,46,159.5,183.5,174,0.0
1,#18A外箱,36,85.5,172.5,168,1.0
1,#13外箱,28,124.5,58.5,164,1.0
1,#26外箱,40,179.5,74.5,192,1.0
1,#7A外箱,40,28.5,37.5,194,1.0
1,#33外箱,36,120.5,46.5,200,1.0
1,#33外箱,36,23.5,141.5,200,1.0
1,#7A外箱,40,85.5,172.5,208,1.0
1,#18A外箱,36,151.5,177.5,210,0.0
1,#26外箱,40,179.5,74.5,232,1.0
1,#16A外箱,32,28.5,37.5,226,1.0
1,#33外箱,36,120.5,46.5,236,1.0
1,#7A外箱,40,28.5,132.5,240,1.0
2,#20外箱,26,55.5,36.5,26,0.0
2,#20外箱,26,55.5,109.5,26,0.0
2,#20外箱,26,55.5,36.5,52,0.0
2,#20外箱,26,55.5,36.5,78,0.0
